channel_id,subscribers,total_views,video_count
UC73sF-7Ihcs1HpnXEEXZ2ew,8720000,8619691695,4032
UCnEIpAZAT4U4wtL7fEFN2sw,1590000,1100592749,1586
UCjRSLHUvYPFhvHYvBCFmcrw,774000,1223754486,1321
UCEOEwGcv5nbL7cRvVnqeKGQ,1040000,357380566,1857
UCAOEXty8JNYU2xOyKSi0PwQ,1580000,1243414377,1059
UCKLbzfmjFv_oalDX8sHxhkQ,29700000,24753832908,7073
UCzVjHe5tfriHKxKxQk7EYIw,38200,21426323,275
UCZPVgnevTPCymfVfLX_QzAw,1600000,1712863430,1383
UCW5CtZ5X9bKA24DabVeSYjw,1050000,554642822,330
UC5v6DJyUvE-CeouxceXQ8bA,3620000,2751275280,1116
UCNXPgLPZYwlOPBYJ78Elv0Q,968000,1013578819,596
UCsyBga6NxnV7M3PX5zm-cAQ,13200000,9378134583,1375
UCj3eT48w7oJU0sGbxkX0FfQ,2220000,2103789523,1061
UCKC1_jCahDmaoCr3bgZDxsw,326000,172517480,68
UCRIUK48zBEPalrjRsmdBQ6A,6910000,1480038575,188
UCSmg4PgB6jwumu0T7TwaKmg,2520000,2352670427,357
UCFnab77h4bEm5Z51bP1KT8w,1940000,1200951150,278
UCNpc6BMk8peBkPMmMZgorQg,2220000,1338038370,894
UCw5laSluKZol8QuE1fOToTQ,30300000,25246390954,5366
UCTGOuh9b_Su2k5xEARHCQQA,16400000,3062361670,2264
UCSf0s2ogUVYpJPuzW1zpAOg,40800000,38701787136,10496
UCPKZ8NsUm96HK-5bpCgVl6w,672000,743851178,253
UCicv75Se8iS6otnQJ_4Pa_A,14200000,9094682830,10321
UCjCAsmk4Zev04xh_VpYl6kg,4680000,3659103839,1027
UCcxb3AV6qMB9Htfqyc_eIlQ,1560000,766303558,1139
UCZLOlM5df0CXW9bP5MAeE7A,21400000,14194952560,1182
UC5LGPvoUOfwcLi4Ck8LiR4A,12400000,3545818716,1283
UCZsohghaolvqquHtIUJBqjg,4380000,3414241207,1621
UCoCx2CX_Vrv1-0ZXuJMIMNw,972000,65977787,1035
UCj_LC4oQW2nEr9X4XPs2uFw,4220000,1358176178,704
UCY518KnBu6TLuPtYd2isfDw,81000,38653150,608
UCg7WjuuH8yv5IthZV_mfWSQ,3470000,2037011621,734
UCW3GaQCtV-xqTjqHgy8lKjw,280000,114256503,792
UCdR_Myj8gkEC1K5bVlLQ_dQ,3700000,1444571585,697
UCVX8CkXUBX0NbtEyjAubJNQ,9350000,9479122536,1111
UC48C8h8JNXW1XyhVzXlDLjA,468000,300542580,620
UCcisSJctjo_jxKgyyVJIyEw,1590000,784659564,296
UCGc_UsstlIt3E3XuyJxGH4w,3250000,2144756165,1046
UCotq9MFP4JB4d4b3tUY9QaQ,4250000,2493212675,1168
UCWBf_sbrlRFb0PgSPC3mXNA,181000,55061162,199
UC_oFAJ3Xha1_mZENuR1Vj9Q,3410000,3690842715,4099
UC5_5Rq-kbDGq_RcDTUDeS5g,2990000,3056172298,1134
UCDqrqD-26_ZZ97DamKOyOuw,69700,24854100,1892
UCk0wP3o4Lx35mShOj2WYVoQ,3680000,1725152446,447
UCi3SR4l-4eX54WYyheuSkXw,5270000,3310212705,960
UCXuGuDh4pT0d-NuX0VSsNfQ,236000,124241879,392
UCOOUuwm1HQ7CNlx25JxUm3A,3560000,2039136751,1621
UClu8wYqI1HvMPbDyeIQrC_w,7010000,8294567599,2558
UCm3hAp1m1xlAz0ve_EKAo4g,32500000,16855036674,773
UCpB_Rt4GwuGnGr6yPISWd1A,624000,269505759,513
UCiiGmRSMKwrf7PbVYpTj6CA,47900,18343927,307
UCDHlLG5fmSpekFa4ayM9zmA,610000,497221324,291
UCPpu7qeRDxAI-VmqB0iR_vg,962000,662920469,3264
UCaqtjuntgCx8NFXulIa_O_A,505000,378336783,153
UCclGtccK0e6HJVKBDesyQ_A,511000,601444273,486
UCrzL4IcMAA0PUY-jrqx_4dg,1020000,361556056,1363
UCadXD59pSUdNGQ9xfqB8CeA,11400000,5620165160,1014
UCqeixFt3NlU-CnYTmre99_A,141000,81089734,28
UC2YEsYjJOz5OHOcRD9YtaZg,478000,283146515,337
UCGdPm5Aq081vVD7ih9jZf6Q,17900000,2588082285,1004
UC2uqduIrS_NCnYHUEtEyv8g,597000,1075204576,354
UCSZbVOwGXulnuBXyxy_roAA,2340000,1374288482,919
UCvpfkBDy5rDt78tYnrScsdQ,295000,109852488,789
UC7i23UGOfVfI87ogWiDgQjw,582000,129745198,148
UCSn8SrBteQ0ccVLmHzeRv9Q,1210000,768771116,157
UCEv8Bgbe9zOOSWHerDkHAxA,282000,350539183,433
UCLfvw6eeaCy8gHve1BNlt_g,4530000,3148817456,968
UCjBjjs9gxIjPb17OvrYN9xg,358000,394643639,472
UC7Lta_EuGv5BXoLTpUutvBA,27900000,28014025183,4416
UCmbbkvgMD29P6yQJEAlWaHQ,9050000,5988280668,635
UCNEkGnUPmh19bcqhJvH3_hw,104000,185524032,499
UCRFSF9WS_g0wqm32kjJ-jNw,1680000,1090781004,752
UCvn1PS3tuakvhCh6dE2snsw,330000,272700863,1155
UCh79IazPBN62-27J7qZuVkw,1410000,988329307,283
UC0hB-GycOMGrxF5zTNQQahw,175000,8286555,359
UCPE_UIuGbfeZSEnFE1WI-Gg,10600000,6527943446,1431
UCzrlI6MuQz0IzprmuUZb8-Q,7300000,3526934343,1105
UCaPu3LJBU5w_ghFUMeko-nA,5520000,4830272298,458
UCa0Gva4Y_TNixIilKd-Dl0g,16200000,9703699453,2298
UCeiL3jzxm0pAyzILbl3JQCQ,573000,431392867,838
UCerF0GMtr1-VktxV6tmAYzg,1150000,1231281244,553
UCdce_0JccaDtpuv5x9Gjdyw,15300000,11531073807,1334
UCPl_Du6JChGsRg4bw15Y1tw,713000,194993482,162
UCDzqtK98_nVy0DuLe6fmh2Q,1420000,862077249,898
UCs0jd6UqA1B7TCq9iFZ6huw,1420000,477186289,1511
UCmMc_GEf8CNJ6FWwos0mTmw,6640000,2521819171,160
UCIFf3obhbXcDu1_U3aHjz-A,1670000,346346193,396
UCfnkofY6C7I54nu1t0SMqIg,316000,606684253,2855
UCU5MjsK39FtO7vyh-R-koOg,149000,421171277,1771
UCE7GXA6GmMCqFkByvb8thJQ,267000,471570186,875
UCPP7GcTE9jB0koFzVGTpNWQ,1670000,1055500054,1368
UCzKa8fRPoCbKh8O9yW2JK2g,3710000,4177726615,1078
UCzvmoJUFIDgiNjQPyobEFWg,510000,524052136,1842
UCXKHQlSsflMm_xKihqBZE-A,203000,18539397,15
UC5l8bnxxl26Q5PDG_jawcuw,1340000,1550263543,1870
UCTxlf0-0gN2vLCpiyr_NTSw,3090000,2340178787,1343
UCNwUtLu-j9iwmm-dsjLVS1A,105000,209793549,122
UCqved_90WH2z2vpvEbUiz7w,227000,808863584,295
UCle_8cU7bOuDxAZL-FY38Nw,11600000,4416163516,906
UCFGbDVRF-uj65PuJV0dKyvg,437000,879580379,1082
UCDgObzDHQmj_IgHBkCp0HyQ,7250000,1242608217,1127
UC8ubYinMfxGj3nD7_Xn-pCw,169000,163848583,352
UCN0tfScXnr78BdQWDsRrX0A,5320000,3364205079,1098
UCbU4UfC5z3vzkS17y5YWWRw,118000,38861287,743
UCS3ijDAyd0_P2399L1Itz0A,7490000,3402774509,809
UCgsWayzDGwj9CclwicO_R3w,11500000,2098656406,2930
UCx5xUie-SBVsryNyHxd8Egw,2480000,486261283,990
UCXf9Ki4HpKB9pHqMKjmAjcg,691000,123535593,149
UCCczaXpIkXAn1Tl-HODH-PA,8130000,8308824784,1939
UCovvTRDnB3XraOrB9jiSB3A,10300000,6790544160,1823
UCRE-097LGtx_Zo7LrHvkycA,7070000,397292840,55
UCgpiOYM6oArwoZvewsjrsJg,7830,6644927,86
UCb6qkzVbz1FjnMMbkcZNdug,369000,526499299,1043
UCNw5wjgSS1zp4QfJ20XCn9Q,1070000,616338924,1229
UCcG6HCBufJHMGFXRM-V0wJw,6660000,3752646904,977
UCqPSpViOkFJPodlL7wV8WNA,6800000,3581318187,439
UCpsvoU1qL4WLR6jvh1CWjhw,2310000,1218996777,685
UCWsAvz-plMpc8dgiaoMb0XQ,1660000,1467822253,2288
UCPXQ211d2zbLXFmFr4uy7YQ,27300000,11008233309,771
UC98mFb9Dw3QP7MwvlPoiiFA,1150000,890545827,295
UC2JiGbes0T7FDEACMMpSp-A,1690000,1284814776,882
UC4P8ylz0_93VaFDtO8CXRNQ,3970000,2327658011,895
UCoxSALTT0zTuBgqeMF2ezuA,589000,176929985,433
UCo4dif9sBpVkq1swr0BMRow,1090000,908179775,2482
UCqK8Y8GCbnvl2JwLt0xxcXg,376000,255176849,1283
UCYV0Hz3NjfoAdBge1MsqlaQ,788000,660557822,517
UCVrEHNmwOcTM85daIG6PSVg,3010000,5593802168,2304
UCNhrlHpKvFTwEKvUGO0z6Fg,70200,64149462,167
UCpuqYFKLkcEryEieomiAv3Q,2050000,134596449,434
UC_wIGmvdyAQLtl-U2nHV9rg,16200000,14797022702,156148
UCZfUyH7XCKwxCwBdI-kjn8A,65500,29809862,489
UCZpISXcBrXT1Ap5YECia6OA,89600,13660679,50
UCkfTm3HfC4Fqr5dTPJHc9Fg,1050000,303349084,733
UCyu9OfpjwgMz43Z1P5iQ7wg,37600,19596148,274
UCGDZLaSjmI52DM-a011J3gA,179000,38924587,198
UCd4t3EEUy0LUOM4MTdjpNHA,2810000,377004628,198
UChuS5MHXn-vgeR0d1Er4Hmg,61800,42921056,468
UCtUMUEVdwMSOfWlSUsgpcsQ,11700,601357,326
UCz21nEmP8HLh6VqqQdlCvJQ,42300,5796619,324
